Name,Latitude,Longitude
Chathill,55.536666,-1.706378
Acklington,55.307035,-1.65179
Alnmouth,55.393113,-1.637126
Nethertown,54.456395,-3.565761
Whitehaven,54.553775,-3.587612
St Bees,54.492148,-3.591399
Corkickle,54.541561,-3.582114
Workington,54.645194,-3.558672
Parton,54.570375,-3.580848
Harrington,54.613368,-3.565433
Sellafield,54.416864,-3.51076
